,Headlines,Date,Sentiment
16,"RBI, Bank of Russia officials discuss payment options. BoB slashes home loan interest rate to 6.5 pc for limited period. DFS Secretary asks banks to soar up balancesheet; raise capital from market. ",2022-04-22,[[9.9999225e-01 2.1446294e-06 5.6417202e-06]]
17,"Reliance ARC buys distressed loans from IOB, Jana SFB. NBFCs can't undertake credit card biz without prior approval: RBI. HDFC Bank to open 150 branches in UP this year; to create 1,000 jobs. RBI issues new rules, penalties for credit & debit cards. Bank credit grows by 10.09 pc; deposits by 10.06 pc. ",2022-04-21,[[9.9846113e-01 1.5037978e-03 3.5172096e-05]]
18,"PSU bosses may be exempted from submitting passport info to banks. IBBI proposes tweaks in rules to reduce delays in corporate insolvency process. Chinese banks continue to dominate; ICICI latest Indian entrant among top banks in APac. RBL finalises next MD; seeks RBI approval. IDBI Trustee allows vote in RHFL after Bombay HC go ahead. Fino Payments Bank receives RBI nod to offer partner bank's FD, RD services. ",2022-04-20,[[9.906403e-01 9.333406e-03 2.628056e-05]]
19,"Digitally ready Bank of Baroda aims to click on more loans. SBI hikes MCLR by 10 bps on all types of loans. What should I consider when investing in mutual funds?. Is investing in global funds of Indian AMCs safe. Is investing money in mutual funds good or should I go for stocks?. How do I pick the right international mutual fund?. I am in my twenties. Is SIP the most secure way of investing for me?. After I invest in a mutual fund, how soon will I get the certificate or statement of account?. Do you believe that passive funds can be effectively used for asset allocation. Cos should float their own NBFCs to fund road construction related projects: Gadkari. SBI, BoB, others hike lending rates by up to 0.1 pc; EMIs to go up. Grant loans to real estate sector after ensuring govt approvals for project: RBI to NBFCs. ",2022-04-19,[[9.999912e-01 4.803895e-06 4.063202e-06]]
20,State Bank of India hikes lending rate by 10 bps across all loan tenors. SBI raises $500 million through IFSC Gift City branch. Loan assets securitised by NBFCs jump 43 pc to Rs 1.25 lakh crore last fiscal: Report. ,2022-04-18,[[9.2282313e-01 7.7156097e-02 2.0800115e-05]]
21,"HDFC Bank to raise Rs 50,000 cr via bonds; re-appoints Renu Karnad as director. ",2022-04-16,[[9.9999547e-01 6.2375170e-07 3.8816279e-06]]
22,IDBI Bank seeks shareholders nod for 10-fold hike in MD & CEO salary. HDFC moved NCLT against SITI Networks claiming default of Rs 296 cr. ,2022-04-15,[[0.7494062  0.00790157 0.24269222]]
23,Kotak pauses crypto trade with CoinSwitch Kuber. ,2022-04-14,[[9.9998200e-01 8.5472344e-08 1.7864599e-05]]
24,Axis Bank committed to addressing needs of SMEs: MD & CEO. ,2022-04-13,[[9.9999440e-01 4.2360616e-06 1.3701697e-06]]
25,"Phoenix ARC in talks with banks to acquire VVF India loans. Kotak Mahindra Bank loan officer arrested. NBFC recovery to bring higher Q4 profits; funding costs to rise, too. Moody's expects Indian banking sector to stabilise on economic rebound. PNB, IDBI Bank get govt nominee directors on their boards. Merger of HDFC entities to increase M&A prominence among banks: Fitch. Will see capex recovery across sectors in coming years: KV Kamath. Banks ask RBI to allow cloud adoption, list the dos & don'ts. ",2022-04-12,[[9.6658982e-02 9.0288901e-01 4.5206142e-04]]
26,"Banks' credit growth nearly doubles in FY22. Eco recovery, improving business confidence to help banks in FY23: Moody's. CreditAccess Grameen disbursements up 25% to Rs 2,257 cr in March. Arohan targets Rs 20,000 crore portfolio by 2027, to review capital raising plan. Decline in bad loans to improve profitability of banks: Report. Government nominates Hardik Mukesh Sheth as director to Central Bank of India's board. ",2022-04-11,[[4.1279881e-04 9.9958509e-01 2.1729186e-06]]
27,Big NBFCs to decide their own future: RBI Governor. ,2022-04-09,[[9.9998987e-01 2.2388294e-06 7.8653702e-06]]
28,"RBI may ease cap on regional priority sector loan portfolios by regional rural banks. Bank of Baroda takes Gayatri Projects to NCLT over unpaid dues. Nuanced, calibrated approach essential for launch of CBDC, says Reserve Bank DG. 'We have been increasing deposit rates, will continue to do so': SBI MD Ashwini Tewari on RBI policy. RBI imposes penalties on Axis Bank, IDBI Bank. Ruchi Soya repays entire loans of Rs 2,925 crore. ",2022-04-08,[[9.5757872e-01 4.9075315e-05 4.2372193e-02]]
29,"6 MNC banks red-flag February 7 holiday, say move put them at big risk. Govt should sell all its stake in PSU banks, insurers, says Prem Watsa. Bandhan-led group to buy IDFC MF, deal valued at ₹4,500 crore. Bank of Maharashtra to divest entire 4% stake in ISARC. Axis Bank inks USD 150 mn partial guarantee pact with ADB to support supply chain financing. Cost rises for micro borrowers as RBI deregulates lending rates. RBI issues guidelines for banks to set up 24X7 digital banking units. Trustees move Bombay HC against CCI challenging jurisdiction. ",2022-04-07,[[9.8229861e-01 7.2436640e-05 1.7628944e-02]]
30,"Team Bandhan leads race to buy IDFC Mutual Fund. After Axis and HDFC Bank, will Kotak Mahindra go the M&A way?. To be or not To be: NBFCs in India face their moment of truth. HDFC Bank move: A financial mega-merger that’s all in the family. Competition Commission probes debt trustee units of SBI, Axis, IDBI on suspected fee cartel. RBL Bank gross advances up 3% at Rs 61,929 crore in FY22. Equitas SFB gross advances rise 15% to Rs 20,648 crore in FY22; deposits up 16%. Rs 50,000 cr loans to be transferred to bad bank by April-end: Union Bank MD. Lenders mull 90-day extension to close Reliance Capital resolution process. Union Bank plans to invest Rs 1,000 crore in technology over two years. Union Bank of India to sell its 8 pc stake in ISARC to Dhansamridhi Finance. Bandhan-led group wins bid to own IDFC MF. ",2022-04-06,[[9.7154272e-01 2.8414633e-02 4.2625361e-05]]
31,"HDFC Bank CEO Sashidhar Jagdishan to lead merged entity. HDFC-HDFC Bank merger: Regulatory changes pave way for union. HDFC, HDFC Bank merger is coming together of equals, at the right time, says Deepak Parekh. PhonePe to double employee count by December. Bank credit growth likely to be at 8.9-10.2 pc this fiscal: Report. Sharp rise in lending for both Ujjivan and Dhanlaxmi Bank. Bandhan Bank crosses Rs 1 lakh crore loans. Yes Bank net advances up 8.8 pc to Rs 181,508 crore in FY22. Bank credit to grow in double digits in FY'23: Report. ",2022-04-05,[[8.4481807e-04 9.9915349e-01 1.6708129e-06]]
32,"Bad loan concerns have been proven to be overblown: SBI. Mortgage lender HDFC announces merger with HDFC bank. Nearly 8 years ago, a RBI notification had triggered possible HDFC-HDFC Bank merger talks. HDFC Bank merger to create entity twice the size of ICICI Bank: S&P. Chairman Deepak Parekh says HDFC found a home within the family. Bank of Maharashtra's advances grow 27 pc to Rs 1.36 lakh crore in FY22. Why HDFC and HDFC Bank merger happened, Deepak Parekh explains. Deepak Parekh to step aside after HDFC-HDFC Bank merger is consummated. HDFC Bank petitions RBI to transfer stake from HDFC subsidiaries. Federal Bank advances rise 10 pc to Rs 1.47 lakh cr in FY22; deposits up 5 pc. Rs 150 crore out of Rs 1,500 crore paid for stalled Amrapali housing projects, SC told. Ireda sanctions highest-ever loan of about Rs 24k cr in 2021-22. ",2022-04-04,[[9.905748e-01 9.356266e-03 6.895911e-05]]
33,Banking sector in sweet spot; should see robust loan growth this year: BoM MD. Jammu & Kashmir Bank sets up special currency counter at Mata Vaishno Devi shrine. ,2022-04-03,[[2.1774289e-07 9.9999976e-01 4.5492752e-09]]
34,Explained: Axis Bank's $1.6 Billion takeover of Citibank's India consumer business. SBI economists suggest reforms to incentivise regional rural banks. Acquisition of Citi India's consumer business to boost Axis Bank's retail franchise: S&P. RRBs need state of the art uniform regulations: Report. ,2022-04-01,[[8.8977039e-02 9.1099757e-01 2.5436444e-05]]
35,"Payment apps are cornering the SME sector. What can India's old-fashioned lenders do?. Citi joins list of foreign banks scaling down India ops with Rs 12,325 cr arm sale to Axis Bank. ADB, HSBC India sign a $100 million partial-guarantee program to promote micro loans. Canara Bank pares its stake in debt resolution firm IDRCL to 5 per cent. Large corporates going back to banks for funds. Asset Allocation – The Key to avoiding sleepless nights in investing. Banks get time till March 2023 to implement new system to replenish cash in ATMs. Unity Small Finance Bank pays Rs 3,800 crore to 8.5 lakh PMC Bank depositors. ",2022-03-31,[[9.99902129e-01 8.64482718e-05 1.13888245e-05]]
36,"Bank of Russia, RBI to ready framework for trade, banking. Axis Bank to acquire Citi India’s retail assets for $2 billion. Paytm has got customers by way of cashbacks, not by rendering services: Aditya Puri. Axis Bank acquires Citi India’s retail assets for $1.6 billion. Axis Bank buys Citibank India's consumer businesses for $1.6 billion. Pandemic-related stress on unsecured loan assets over: HDFC Bank. Axis Bank buys Citi's retail biz in India for Rs 12,325 cr. NPAs to reduce in Q4, industry loss to be restricted to 5-6% of total microfinance loans, says Bandhan Bank MD Chandra Shekhar Ghosh. Citibank customers to continue availing rewards, privileges and offers: Axis Bank MD. SBI exploring new ways to resolve retail loan stress. ",2022-03-30,[[9.9887353e-01 3.7364203e-05 1.0890599e-03]]
37,"4 reasons to invest in ELSS funds. Banking services partially impacted on second day of strike by central trade unions. HDFC Bank to infuse Rs 3 cr to acquire stake in debt resolution firm IDRCL. Public sector banks sufficiently capitalised, says MoS Finance Bhagwat K Karad. IDBI Bank board okays rupee bond borrowing limit of Rs 8,000 cr for FY23. SBI to buy entire share of three stakeholders in SBI Global Factors. India loses Rs 100 crore to bank fraud every day over past 7 years: RBI. ",2022-03-29,[[9.9886620e-01 3.6691478e-04 7.6699490e-04]]
38,"Nationwide strike hits banking, public transport services in West Bengal, Kerala, other states. Microfinance market to turn interest sensitive in two years, borrowers will look for loans with lower rates: Suryoday Small Fin Bank MD Babu. About 5,200 companies with credit exposure of over Rs 5 cr declared as NPAs till Dec 2021: MoS Finance. Shriram Transport set to wear a brand new look beginning April. Corporates shun CPs in favour of bank funding. ",2022-03-28,[[9.9936420e-01 1.1317125e-05 6.2448403e-04]]
39,"SBI services could be impacted after unions call for strike on March 28, 29. Bank of Maharashtra bags best bank award from Kerala bankers' body. ",2022-03-27,[[0.99483126 0.00131586 0.0038529 ]]
40,IndusInd Bank to sell Future Retail loans to Edelweiss ARC. RBI discusses trade payment option with Russian banks. Banks lose microloan market share. RBI releases framework for geo-tagging of payment system touch points. ,2022-03-25,[[9.0684390e-01 1.5358292e-04 9.3002453e-02]]
41,"We have too few banks, need more access to common man: Sanjiv Bajaj. Banks are on a fundraising spree as economy shows signs of stability. CBI probe in over Rs 21,000-cr bank fraud cases pending for consent from 5 non-BJP ruled states. RBI Governor Shaktikanta Das inaugurates Reserve Bank Innovation Hub (RBIH) in Bengaluru. Federal Bank, RBIH partner to advance digital financial inclusion for women. PNB acquires 6 per cent stake in public digital e-commerce platform. Sebi penalises Axis Bank for violating merchant bankers regulations. Banks to undertake special clearing ops on Mar 31 for closure of govt accounts. ",2022-03-24,[[9.9941492e-01 5.6754507e-04 1.7481318e-05]]
42,"Kotak, Axis acquire nearly 8% stake each in ONDC. ICICI Bank partners with Chennai Super Kings for co-branded credit card. Banks share in industrial credit plunges to 34% in FY21, says report. ",2022-03-23,[[6.8984044e-01 3.2956345e-05 3.1012660e-01]]
43,"YES Bank in talks with Brookfield, BlackRock to sell 5-10% stake via QIP: Report. Indian banks are unprepared to fight climate change, report says. Spandana Sphoorty's founder and former MD Padmaja Reddy moves court. Services may be hit as staff unions plan to go on strike on March 28, 29: SBI. ",2022-03-22,[[8.5829431e-01 3.5099767e-04 1.4135465e-01]]
44,"HDFC Bank to give a digital push to small business loans. RBI's retail direct a hit with investors as GSecs trump FDs. Banks recover Rs 61,000 crore via one-time settlement of loans. PNB board to consider debt raising plan for FY23 on March 29. ",2022-03-21,[[9.9797732e-01 2.9292711e-04 1.7298299e-03]]
45,SBI lines-up 12 NPA accounts for sale to ARCs to recover dues of over Rs 820 cr. ,2022-03-20,[[9.9993265e-01 2.2245465e-06 6.5108128e-05]]
46,Bank privatisation to be kickstarted soon. ,2022-03-18,[[9.67508674e-01 3.24809477e-02 1.03851335e-05]]
47,"Bank CEOs now think they are running technology companies: Bill Winters, CEO, Standard Chartered. Fewer EMI bounces point to drop in loan defaults. Dear women, SIPs may help you wear different hats with ease. Tasks to complete before 31 March 2022. Things to know before investing in Short Term Income Funds. Yes Bank Scam: HC directs special CBI court to defer framing of charges until April 1. ",2022-03-17,[[9.9990690e-01 1.6322025e-06 9.1368027e-05]]
48,Payment Aggregators help shape digital payments in India. Banks in India may face headwinds from Russia-Ukraine crisis: S&P. ,2022-03-16,[[2.245958e-05 6.830235e-06 9.999707e-01]]
49,"No PSB employees found involved in Rs 14,349 cr ABG Shipyard fraud case: Sitharaman. Banks recover over Rs 7.34 lakh cr in six-and-a-half years till Dec 2021. If mutual funds are taxed, then what are tax-free mutual funds? Confusion cleared!. Decoding Section 80C of the Indian Income Tax Act. BAF hai to jeet hai. PNB declares IL&FS Tamil Nadu Power Company's loan as fraud. Time to dishonour Section 138? Why there is little reason to continue with India's cheque bounce law. Free pricing system to strengthen MFIs; but credit cost for borrowers to jump: Analysts. ",2022-03-15,[[9.9728608e-01 6.9509062e-04 2.0187474e-03]]
50,"Can India really overthrow Visa and Mastercard?. 'Foreign' private banks need govt nod to back debt recast firm. Bank frauds fall drastically over last 5 years to Rs 648 cr in Apr-Dec FY22: Minister. At 642, Kotak Mahindra Bank hit by highest number of bank frauds of Rs 1 lakh and more in Apr-Dec FY22. RBI letter to Paytm Bank does not talk about data access, says Vijay Shekhar Sharma. ",2022-03-14,[[0.9800087  0.00175499 0.01823636]]
51,From feast to famine: Investors' guide to manoeuvre uncertainties. RBI lifts all restrictions on HDFC Bank's business-generating activities. Taking immediate steps to comply with RBI directions: Paytm Payments Bank. ,2022-03-12,[[0.9944764  0.00424322 0.00128047]]
52,"State-owned banks on course to book better profits next fiscal: Report. Digitisation, innovative technologies creating unprecedented disruption in banking sector: SBI chairman Dinesh Khara. RBI bans Paytm Bank from onboarding new customers. Punjab & Sind Bank to buy 2 per cent stake in bad bank NARCL for Rs 55 crore. RBI directs Paytm Payments Bank to immediately stop onboarding new customers. Data localisation not the best solution; compliance to laws top priority, says Visa CEO. ",2022-03-11,[[0.83786    0.06355883 0.09858119]]
53,Govt is making sure that India will have at least 75 digital banking units in near future: Nirmala Sitharaman. ToneTag in association with NSDL Payments Bank introduces voice-based UPI digital payment solutions for feature phones. Projects with implementation risks should be financed by capital markets: Former RBI deputy governor. Sidbi keen on coming out with venture debt scheme: CMD S Ramann. Bank credit grows by 7.9 per cent; deposits by 8.6 per cent. ,2022-03-10,[[9.9822301e-01 1.7679038e-03 9.0783842e-06]]
54,"RBI now brings UPI to feature phone users. Proposed digital currency by RBI to speed up transactions, reduce cost of cash: Deloitte. NaBFID to be regulated as AIFI under RBI Act. ",2022-03-09,[[9.9944943e-01 5.1037164e-04 4.0131054e-05]]
55,RBI Governor Shaktikanta Das launches UPI service for feature phone users. Nine things every smart woman should know about money. Financial planning for artists; here are steps to ensure you are on the right track. Wealth creation – Key things to keep in mind. Ukraine war may have limited impact on domestic credit market: Report. IBA invites applications for full time NARCL CEO. HDFC Bank says will reverse market share loss as new cards join spending. ,2022-03-08,[[9.9977082e-01 8.2188009e-05 1.4694233e-04]]
56,"Foreign lenders need regulatory support: Grant Thornton Bharat Report. The future of banking is digital. Airtel, Axis Bank partner for financial services; launch co-branded credit card. Bank consortium informs SC of Rs 300 crore infusion for completion of stalled Amrapali projects. ",2022-03-07,[[9.9990368e-01 7.2041439e-05 2.4298906e-05]]
57,"SBI appoints ex-Ujjivan Small Finance Bank CEO Nitin Chugh as DMD. BBB launches programme for improving quality of PSU bank boards. Awaiting govt, RBI guidelines on SWIFT transactions with Russian entities: PNB. ",2022-03-06,[[7.8299206e-01 2.1692869e-01 7.9269928e-05]]
58,"Banks, NBFCs raise lending rates as tighter liquidity, deposit costs pinch. RBI asks banks to find alternative mechanism for Russia payments. ",2022-03-05,[[9.9998319e-01 4.3277714e-06 1.2512938e-05]]
59,Carlyle plans to acquire 10 per cent in Yes Bank for $500-600 million. Geopolitical tensions new challenge to monetary policy: RBI governor. ,2022-03-04,[[5.9198132e-03 5.0401399e-05 9.9402976e-01]]
60,Tijoree launches Smart & Gamified Banking for India’s Teens. Equity Basics: Don’t panic in falling and rising market. A woman’s best protection is a little money of her own. ,2022-03-03,[[9.9892479e-01 3.1202988e-04 7.6315738e-04]]
61,"UCO Bank ties up with Fisdom for launching paperless facilities. Explained: Will SWIFT ban choke Russia’s international money flow?. Consumer demand remains strong but delinquencies also inch up: Cibil data. RBI cancels licence of Sarjeraodada Naik Shirala Sahakari Bank, Sangli. RBI cancels banking licence of Sangli-based Sarjeraodada Naik Shirala Sahakari Bank. ",2022-03-02,[[9.9405247e-01 5.4706498e-03 4.7687901e-04]]
62,State Bank of India stops handling trade with sanctioned Russian entities: Sources. Axis Finance drags Essel promoters to HC over unpaid dues. PNB to clear cheques of Rs 10 lakh & above after customer confirmation from Apr 4. Canara Bank hikes fixed deposit rates by up to 25 basis points. ,2022-03-01,[[9.9947375e-01 2.9214597e-04 2.3407591e-04]]
63,"PE firms partner each of four IDFC MF suitors; TPG-IndusInd, Bandhan Bank-GIC among consortia in fray. Indian banks await government's orders on dealing with Russian lenders. Standard Chartered India appoints Saurabh Jain as head of wealth management. Former Finance Secy Hasmukh Adhia nominated again as BoB chairman. This is what you need to know before investing in Large Cap Funds. Want to meet different financial goals? Say hello to goal-based investing!. 6 reasons why you must start planning your taxes right away. ",2022-02-28,[[9.9997115e-01 2.2261902e-06 2.6607453e-05]]
64,NPCI focusing on new customers to expand RuPay credit card base. Govt to provide capital support mostly to weak PSBs. ,2022-02-27,[[9.999677e-01 9.294223e-06 2.297549e-05]]
65,Secured lenders reject IL&FS' Jammu tunnel debt recast plan. India may set up rupee trade accounts with Russia to soften sanctions blow. ,2022-02-26,[[0.9919606  0.00503049 0.00300887]]
66,"Russia-Ukraine tensions: Banks see minimal impact on biz, trade financing. Equities - Perceived risk versus real risk. Top 7 financial pitfalls to avoid in retirement. ",2022-02-25,[[0.81807613 0.00431283 0.17761102]]
67,"RBI cancels registration certificate of P C Financial Services operating 'Cashbean' app. Chanda Kochhar moves Bombay High Court against ICICI Bank, claiming retirement dues. ",2022-02-24,[[0.07243333 0.00406866 0.92349803]]
68,"Public sector banks to get ₹15,000 crore via zero-coupon bonds in FY22. Share of small loans rises, thanks to small finance banks. Reserve Bank asks NBFCs to implement core financial services solution by Sep 2025. ",2022-02-23,[[9.9998248e-01 1.5213188e-05 2.2726599e-06]]
69,Religare Finvest lenders to move RBI for insolvency. Banks may not wait for regulation to adopt decentralised finance. 5 things you need to know before opting for a digital bank. ,2022-02-22,[[9.9076873e-01 1.0926048e-05 9.2203366e-03]]
70,"FM Nirmala Sitharaman asks banks to be more customer-friendly. Rs 22,842 cr bank fraud case: ABG Shipyard's former chairman Rishi Agarwal questioned by CBI. IRCTC, NPCI, Bank of Baroda team up to make train travel cheaper. NABARD projects priority sector lending of Rs 6.13 lakh crore during 2022-23 for Maharashtra. ",2022-02-21,[[9.9985027e-01 2.2612523e-06 1.4746757e-04]]
71,"IIFL Home Finance to get $68 million ADB loans. RBI orders five banks to list zero coupon bonds at ""fair value"". ",2022-02-20,[[9.9999881e-01 7.7812112e-09 1.1413331e-06]]
72,"Credit card spends ease a tad in January, February. ",2022-02-19,[[0.09586206 0.4542484  0.4498895 ]]
73,"RBI approves appointment of Pralay Mondal as CSB Bank's deputy MD. Bank of Baroda, Canara Bank announce subscription to IDRCL shares. HDFC Bank non-executive director Srikanth Nadhamuni resigns. IDFC FIRST Bank appoints Jaimini Bhagwati on board as additional director. ",2022-02-18,[[9.9989665e-01 2.8986144e-05 7.4432108e-05]]
74,"NACH bounce rates fall to lowest in Q3 since start of Covid 19. Banking sector outlook revised to 'improving' for FY23; credit growth seen at 10 pc: Ind-Ra. Banking sector in pink of health, credit growth to pick up: Ind-Ra. Bank loans to industries get momentum after 21 months. ",2022-02-17,[[2.5748805e-06 9.9999678e-01 5.9721805e-07]]
75,"Govt set to launch IDBI Bank sale process next week. Rana Kapoor, Gautam Thapar get bail in Yes Bank fraud case. Zombie firms eating up bank resources: Study. Gold auctions by lenders spike amid loan defaults. Banks explore option of setting up panel to advise them on loan recast. ",2022-02-16,[[9.9937123e-01 9.8152312e-05 5.3068332e-04]]
76,Yes Bank scam: CBI searches underway at six locations. Aditya Birla Group invests undisclosed sum in Zand in UAE. Punjab & Sind Bank declares IL&FS Tamil Nadu Power as fraud account; outstanding dues at Rs 148 crore. ,2022-02-15,[[9.9999738e-01 1.5400410e-07 2.5216693e-06]]
77,Axis Bank set to buy Citigroup’s $2.5 billion India retail unit. Why it is important to strike a balance in your investment portfolio?. Human behavioural aspects that affect investment decisions. Investors with higher investment horizons should focus on target maturity bond ETFs or bond index funds. Equity Market Outlook. Episode 33 – Lessons on investing from the movie Chak De India. IndusInd Bank's internal investigation hints at procedural lapses by Bharat Financial Inclusion. ,2022-02-14,[[9.9664658e-01 1.7521206e-04 3.1781849e-03]]
78,"SBI expects to recover Rs 8,000 cr from written-off accounts in FY22. ABG Shipyard fraud: No delay in filing of case, says SBI. No delay in filing complaints against ABG Shipyard: SBI. ",2022-02-13,[[9.9676847e-01 3.3625183e-04 2.8952532e-03]]
79,"ABG Shipyard, its directors booked over Rs 22,842-crore scam; biggest fraud registered by CBI. CBI unearths India's biggest-ever bank fraud of Rs 22,842 cr, books ABG Shipyard and its directors. ",2022-02-12,[[0.15159556 0.0047971  0.84360737]]
80,Hero FinCorp first Indian company to secure new benchmark loan. Indian Bank inks pact with University of Madras; to train staff on local language. ,2022-02-11,[[9.9997008e-01 9.8188602e-06 2.0202886e-05]]
81,"RBI warns of spillover effects on banks and NBFCs in its policy review. RBI Governor exhorts banks to continue process of capital argumentation. Bank credit grows by 8.21 per cent, deposits by 8.31 per cent. Modi govt trying to take country from UPA's 'Andh Kal' to 'Amrit Kal': FM Nirmala Sitharaman in LS. ",2022-02-10,[[9.9842274e-01 2.8799649e-04 1.2891865e-03]]
82,"SBI moves NCLT against Essel Infraprojects, bank has Rs 100 crore exposure in 2 SPVs. Aggregate NPA provisioning by banks increases in Q3 led by PSU banks. The discipline of Passive and judgment of Active - Diversify. Bank of Maharashtra tops PSU lenders' chart in terms of loans, savings deposit growth in Q3. SBI disburses a record Rs 1.12 lakh crore home loans in FY22, crosses pre-Covid levels. RBI takes stock of preparedness for card tokenisation. ",2022-02-09,[[9.3278766e-01 6.7151144e-02 6.1112354e-05]]
83,"RBI extends restrictions on Karnataka's Millath Co-Operative Bank till May. Bank fraud complaints rise to 1.45 lakh in FY21. Indian Bank declares loan account of UIL Hong Kong Ltd as fraud. Over 1,45,000 bank fraud complaints in FY21. Mudra loan target not met in FY21. Banks headed for privatisation may get most of allocated funds. ",2022-02-08,[[9.9952352e-01 1.4155411e-05 4.6227765e-04]]
84,"Ujjivan Small Finance Bank appoints Sriram Srinivasan as head of digital banking. Govt yet to decide on banks to be privatised, say MoS Finance Bhagwat Karad. Govt recapitalised PSBs with Rs 3.10 lakh crore capital infusion over last five years: Minister. Banks' gross bad loans decline to Rs 8 lakh crore as of September: Karad. ",2022-02-07,[[9.9728405e-01 4.5051147e-05 2.6709237e-03]]
85,SBI lines up 6 NPA accounts for sale to ARCs to recover dues of Rs 406 cr. Bank of Baroda sees loan growth of 7-10 pc in FY22. ,2022-02-06,[[2.1743177e-01 7.8253329e-01 3.4981200e-05]]
86,"Would you like to open a crypto account with us? Banks face moment of reckoning. Ashneer Grover has no individual role in Unity SFB, says Centrum's Jaspal Bindra. Ujjivan Small Finance Bank reduces net loss at Rs 34 crore. ",2022-02-05,[[0.9848529  0.00766347 0.00748355]]
